code,trades,winrate,pnl,return_pct,profit_factor,max_dd,final,bh_return,excess,rank
688256,42,47.6,184759.0,184.8,6.81,-9377.0,284759.0,1172.6930674442667,-987.8930674442668,1
300308,43,30.2,164627.0,164.6,5.63,-8982.0,264627.0,2436.3636363636365,-2271.7636363636366,2
601138,42,42.9,106167.0,106.2,4.86,-6842.0,206167.0,448.01016088060965,-341.81016088060966,3
300502,44,36.4,102063.0,102.1,4.6,-10244.0,202063.0,989.0269151138717,-886.9269151138717,4
601698,50,46.0,98254.0,98.3,5.15,-4078.0,198254.0,124.82014388489206,-26.520143884892065,5
603986,42,61.9,96120.0,96.1,7.83,-5939.0,196120.0,208.0772727272727,-111.97727272727272,6
603993,42,50.0,85247.0,85.2,4.95,-5495.0,185247.0,170.36496350364962,-85.16496350364962,7
300274,46,43.5,84255.0,84.3,4.35,-7966.0,184255.0,-21.444582814445823,105.74458281444582,8
601360,50,42.0,77270.0,77.3,3.64,-6914.0,177270.0,-29.1869918699187,106.4869918699187,9
300033,44,45.5,76942.0,76.9,3.02,-13345.0,176942.0,152.95930949445133,-76.05930949445133,10
688981,50,46.0,72220.0,72.2,4.7,-4001.0,172220.0,108.29869358669835,-36.098693586698346,11
688525,29,58.6,70023.0,70.0,8.93,-2262.0,170023.0,2564.4458281444586,-2494.4458281444586,12
601872,43,44.2,65961.0,66.0,4.22,-3712.0,165961.0,337.0179948586118,-271.0179948586118,13
300442,48,41.7,64419.0,64.4,3.56,-8783.0,164419.0,90.2048085485307,-25.8048085485307,14
688008,40,55.0,63466.0,63.5,3.96,-4392.0,163466.0,300.17999100044995,-236.67999100044995,15
601336,44,47.7,63380.0,63.4,4.79,-3726.0,163380.0,55.4576603034753,7.942339696524698,16
601127,57,35.1,62870.0,62.9,3.03,-8174.0,162870.0,1.2774320340648515,61.62256796593515,17
688041,38,39.5,61928.0,61.9,4.77,-6770.0,161928.0,441.4309484193011,-379.5309484193011,18
000977,42,42.9,60478.0,60.5,4.46,-4940.0,160478.0,110.36778693722256,-49.86778693722256,19
600584,45,33.3,59952.0,60.0,3.43,-5743.0,159952.0,132.01429665560374,-72.01429665560374,20
600066,41,36.6,59657.0,59.7,3.71,-4735.0,159657.0,145.7482993197279,-86.04829931972789,21
300450,48,37.5,57242.0,57.2,2.83,-8469.0,157242.0,-49.94904458598726,107.14904458598727,22
002050,48,41.7,57056.0,57.1,3.98,-3202.0,157056.0,121.9755323969189,-64.87553239691889,23
600183,37,51.4,54875.0,54.9,4.78,-6134.0,154875.0,453.6501377410469,-398.7501377410469,24
002938,40,45.0,54866.0,54.9,3.73,-10254.0,154866.0,156.68435013262595,-101.78435013262595,25
002230,48,37.5,54841.0,54.8,3.39,-4826.0,154841.0,-30.931780366056582,85.73178036605658,26
603019,54,40.7,54085.0,54.1,2.65,-6987.0,154085.0,179.15662650602408,-125.05662650602409,27
300433,44,50.0,52050.0,52.0,4.99,-3495.0,152050.0,105.72998430141287,-53.72998430141287,28
600362,45,46.7,50402.0,50.4,3.62,-5763.0,150402.0,63.69137670196672,-13.291376701966719,29
000617,51,41.2,50129.0,50.1,2.98,-8090.0,150129.0,31.22605363984674,18.873946360153262,30
600489,43,41.9,49643.0,49.6,3.4,-5028.0,149643.0,146.84466019417476,-97.24466019417477,31
000938,46,52.2,48260.0,48.3,3.11,-6317.0,148260.0,7.072135785007072,41.22786421499293,32
600415,50,38.0,46886.0,46.9,2.73,-5843.0,146886.0,131.37254901960782,-84.47254901960781,33
300059,48,43.8,46789.0,46.8,3.29,-5544.0,146789.0,-36.23978201634878,83.03978201634877,34
688728,46,47.8,46056.0,46.1,3.91,-4230.0,146056.0,-34.26950354609929,80.36950354609928,35
603799,53,41.5,45450.0,45.5,3.36,-4609.0,145450.0,-65.02879365791638,110.52879365791638,36
000630,44,40.9,45386.0,45.4,3.37,-4993.0,145386.0,77.74725274725273,-32.34725274725273,37
601899,39,38.5,44768.0,44.8,2.98,-6283.0,144768.0,157.35430157261794,-112.55430157261794,38
601998,40,47.5,44842.0,44.8,3.75,-3578.0,144842.0,52.620087336244545,-7.820087336244548,39
601100,48,41.7,44617.0,44.6,2.8,-5979.0,144617.0,13.129998140226885,31.470001859773117,40
603259,46,47.8,44380.0,44.4,3.2,-4199.0,144380.0,-18.769633507853413,63.16963350785341,41
601288,32,53.1,44420.0,44.4,6.16,-4467.0,144420.0,100.68027210884355,-56.280272108843555,42
601319,43,53.5,43773.0,43.8,4.49,-5394.0,143773.0,41.87866927592954,1.921330724070458,43
601689,49,40.8,43622.0,43.6,2.25,-9762.0,143622.0,73.46485134759655,-29.86485134759655,44
600938,29,55.2,43195.0,43.2,3.83,-6166.0,143195.0,100.79767947788257,-57.597679477882565,45
000975,44,38.6,43080.0,43.1,2.82,-6619.0,143080.0,120.44444444444444,-77.34444444444443,46
600111,52,36.5,42992.0,43.0,2.94,-5137.0,142992.0,-0.4713114754098302,43.47131147540983,47
300413,53,34.0,42824.0,42.8,2.64,-6314.0,142824.0,-73.00161666966049,115.80161666966049,48
000338,42,40.5,42551.0,42.6,3.04,-5400.0,142551.0,49.442379182156145,-6.842379182156144,49
002475,41,53.7,42535.0,42.5,3.02,-6123.0,142535.0,68.42655514898067,-25.92655514898067,50
000858,44,45.5,42303.0,42.3,3.12,-8125.0,142303.0,84.05896673101982,-41.758966731019825,51
300751,58,43.1,41486.0,41.5,2.53,-13384.0,141486.0,-57.55425642668375,99.05425642668375,52
600732,49,34.7,41294.0,41.3,2.57,-16611.0,141294.0,-2.5528811086798053,43.8528811086798,53
688777,46,47.8,40817.0,40.8,3.32,-4578.0,140817.0,-4.051565377532218,44.85156537753222,54
600176,45,37.8,40806.0,40.8,3.35,-4442.0,140806.0,346.4735516372796,-305.6735516372796,55
002709,52,55.8,40596.0,40.6,2.76,-9455.0,140596.0,-50.10617671498476,90.70617671498476,56
688561,47,40.4,39791.0,39.8,2.97,-6014.0,139791.0,-75.51440329218107,115.31440329218107,57
002920,48,31.2,39481.0,39.5,2.12,-11164.0,139481.0,-19.7773654916512,59.277365491651196,58
300223,38,42.1,39395.0,39.4,2.96,-4581.0,139395.0,50.37367475812524,-10.973674758125242,59
002916,46,43.5,39152.0,39.2,2.95,-6145.0,139152.0,270.21831215379603,-231.01831215379605,60
000063,47,42.6,38915.0,38.9,2.47,-7775.0,138915.0,-10.723926380368088,49.62392638036809,61
601628,41,48.8,38814.0,38.8,2.72,-7059.0,138814.0,36.75274142200211,2.047258577997887,62
000831,52,46.2,38278.0,38.3,2.71,-9632.0,138278.0,46.963562753036456,-8.663562753036459,63
688047,36,52.8,38044.0,38.0,3.94,-3461.0,138044.0,52.7225777478388,-14.722577747838798,64
002241,47,46.8,37946.0,37.9,2.96,-6907.0,137946.0,-42.54820218863992,80.44820218863993,65
600795,39,51.3,37805.0,37.8,3.4,-6038.0,137805.0,102.5751072961373,-64.7751072961373,66
601857,44,38.6,37825.0,37.8,3.02,-5122.0,137825.0,92.07708779443256,-54.27708779443256,67
000776,43,46.5,37543.0,37.5,3.19,-4892.0,137543.0,42.035928143712574,-4.5359281437125745,68
601615,41,43.9,37493.0,37.5,3.01,-10488.0,137493.0,-45.09073987901348,82.59073987901348,69
601688,43,46.5,37353.0,37.4,3.29,-3865.0,137353.0,42.119382964453386,-4.719382964453388,70
601868,48,39.6,37255.0,37.3,3.08,-4001.0,137255.0,-3.2727272727272716,40.57272727272727,71
300014,53,37.7,37110.0,37.1,2.35,-10929.0,137110.0,-46.35087719298245,83.45087719298246,72
002236,52,36.5,36712.0,36.7,2.19,-13018.0,136712.0,-21.896792189679225,58.59679218967923,73
600460,47,46.8,36346.0,36.3,2.92,-5410.0,136346.0,-30.819912152269403,67.11991215226939,74
688012,46,39.1,36262.0,36.3,2.49,-4289.0,136262.0,93.49391955098221,-57.193919550982216,75
601838,40,40.0,36307.0,36.3,3.22,-7083.0,136307.0,67.33393994540491,-31.03393994540491,76
601898,43,53.5,36169.0,36.2,2.88,-6224.0,136169.0,83.88969521044993,-47.689695210449926,77
600547,49,44.9,36031.0,36.0,2.56,-7447.0,136031.0,49.19908466819221,-13.199084668192206,78
000408,38,47.4,35892.0,35.9,2.62,-5977.0,135892.0,155.04172461752432,-119.14172461752432,79
300390,48,33.3,35712.0,35.7,2.44,-13063.0,135712.0,43.13573750193469,-7.435737501934689,80
600570,47,38.3,34386.0,34.4,2.33,-6781.0,134386.0,-61.49102122256485,95.89102122256485,81
601800,54,27.8,34436.0,34.4,2.25,-10245.0,134436.0,-11.227544910179644,45.627544910179644,82
000425,39,38.5,34329.0,34.3,2.95,-3326.0,134329.0,34.72,-0.4200000000000017,83
601456,44,43.2,33987.0,34.0,2.97,-3999.0,133987.0,-30.239752513534413,64.23975251353441,84
300316,48,41.7,33443.0,33.4,2.44,-9499.0,133443.0,-24.213649851632056,57.613649851632054,85
300347,53,43.4,33442.0,33.4,2.79,-5361.0,133442.0,-70.26547551162643,103.66547551162643,86
601696,50,40.0,33343.0,33.3,2.65,-4624.0,133343.0,-17.320261437908503,50.620261437908496,87
300207,47,29.8,33207.0,33.2,2.33,-8807.0,133207.0,-44.411147737488754,77.61114773748875,88
600919,35,54.3,32727.0,32.7,3.86,-3571.0,132727.0,76.14533965244865,-43.44533965244865,89
600089,50,44.0,32393.0,32.4,2.26,-12722.0,132393.0,44.13883431565162,-11.738834315651623,90
601600,42,35.7,32238.0,32.2,2.25,-5894.0,132238.0,41.66666666666667,-9.466666666666669,91
601601,43,34.9,31392.0,31.4,2.18,-6916.0,131392.0,10.22304832713754,21.176951672862458,92
688126,46,47.8,31398.0,31.4,2.63,-9523.0,131398.0,-8.723235527359229,40.12323552735923,93
601318,43,41.9,31225.0,31.2,2.56,-5691.0,131225.0,-9.10942418070727,40.30942418070727,94
300124,49,36.7,30960.0,31.0,2.2,-6742.0,130960.0,-15.267175572519086,46.267175572519086,95
600745,53,49.1,31023.0,31.0,2.85,-4415.0,131023.0,-83.71989295272078,114.71989295272078,96
600309,42,47.6,30757.0,30.8,2.87,-6827.0,130757.0,-42.34519543295274,73.14519543295275,97
601728,47,42.6,30660.0,30.7,3.93,-4908.0,130660.0,-11.12929623567922,41.82929623567922,98
601881,48,41.7,30743.0,30.7,2.56,-4619.0,130743.0,36.724313326551375,-6.0243133265513755,99
600150,40,40.0,30255.0,30.3,2.66,-5850.0,130255.0,144.40789473684214,-114.10789473684214,100
002466,51,43.1,30093.0,30.1,2.36,-5094.0,130093.0,-45.42748162619779,75.52748162619778,101
688111,54,38.9,29992.0,30.0,1.95,-8290.0,129992.0,-37.09821428571429,67.09821428571429,102
600036,40,52.5,29221.0,29.2,3.12,-6535.0,129221.0,-22.804443512890384,52.00444351289038,103
600030,45,42.2,28912.0,28.9,2.83,-3302.0,128912.0,24.409110442629988,4.490889557370011,104
601788,49,40.8,28873.0,28.9,2.27,-5885.0,128873.0,-4.901336728198613,33.80133672819861,105
601901,46,39.1,28685.0,28.7,2.73,-2224.0,128685.0,-15.081206496519705,43.7812064965197,106
600989,46,34.8,28466.0,28.5,2.32,-4834.0,128466.0,25.62691131498469,2.8730886850153112,107
300750,51,41.2,28262.0,28.3,1.87,-19517.0,128262.0,-31.159420289855078,59.459420289855075,108
688082,40,45.0,28173.0,28.2,2.51,-4487.0,128173.0,180.10019267822736,-151.90019267822737,109
600028,48,43.8,28084.0,28.1,3.22,-3061.0,128084.0,17.500000000000004,10.599999999999998,110
601117,47,42.6,28062.0,28.1,2.63,-5846.0,128062.0,-17.396061269146614,45.496061269146615,111
000301,49,40.8,27976.0,28.0,2.47,-6396.0,127976.0,-52.22687476208603,80.22687476208603,112
601328,36,55.6,28004.0,28.0,4.22,-2215.0,128004.0,50.69444444444442,-22.69444444444442,113
600011,41,46.3,27832.0,27.8,2.89,-3135.0,127832.0,79.29292929292929,-51.49292929292929,114
603369,46,39.1,27584.0,27.6,2.23,-5160.0,127584.0,-41.71893147502903,69.31893147502903,115
603606,49,38.8,27004.0,27.0,2.42,-8382.0,127004.0,77.55681818181819,-50.55681818181819,116
601108,42,42.9,26858.0,26.9,2.5,-6305.0,126858.0,-8.982035928143716,35.882035928143715,117
601669,53,34.0,26802.0,26.8,2.32,-4708.0,126802.0,-10.820895522388064,37.62089552238807,118
002001,39,48.7,26556.0,26.6,2.22,-5351.0,126556.0,10.660272962006644,15.939727037993357,119
000333,40,52.5,26551.0,26.6,3.12,-3417.0,126551.0,17.978208232445514,8.621791767554488,120
600588,56,30.4,26164.0,26.2,1.88,-7126.0,126164.0,-76.35855764347384,102.55855764347385,121
601229,43,46.5,26194.0,26.2,3.25,-3578.0,126194.0,23.545706371191134,2.6542936288088654,122
300408,41,43.9,26143.0,26.1,2.57,-5361.0,126143.0,210.65608919382498,-184.556089193825,123
600010,57,33.3,26007.0,26.0,2.13,-3912.0,126007.0,-16.356877323420072,42.35687732342007,124
601377,44,40.9,25770.0,25.8,2.5,-5701.0,125770.0,-35.392670157068075,61.19267015706808,125
601088,40,42.5,25761.0,25.8,2.52,-3653.0,125761.0,136.0788863109049,-110.2788863109049,126
603296,26,50.0,25736.0,25.7,2.77,-6185.0,125736.0,-6.017191977077374,31.717191977077373,127
300919,51,35.3,25459.0,25.5,1.79,-17608.0,125459.0,-73.44768656244067,98.94768656244067,128
600377,41,43.9,25322.0,25.3,2.29,-5490.0,125322.0,39.48896631823462,-14.188966318234616,129
601939,34,47.1,25251.0,25.3,3.91,-2412.0,125251.0,63.90328151986184,-38.60328151986184,130
601390,52,25.0,25260.0,25.3,1.93,-12167.0,125260.0,-19.397363465160065,44.697363465160066,131
600000,43,44.2,25150.0,25.1,3.6,-1893.0,125150.0,-4.8192771084337505,29.919277108433754,132
601166,45,37.8,24998.0,25.0,2.7,-3871.0,124998.0,-4.972067039106132,29.972067039106133,133
688484,31,45.2,24771.0,24.8,2.83,-3344.0,124771.0,-19.022746419545065,43.82274641954507,134
600958,43,34.9,24752.0,24.8,2.47,-4102.0,124752.0,-20.399666944213145,45.19966694421315,135
601236,47,46.8,24763.0,24.8,2.5,-5509.0,124763.0,-44.16932907348242,68.96932907348243,136
601995,45,40.0,24805.0,24.8,2.35,-5103.0,124805.0,-33.54037267080745,58.340372670807454,137
601878,44,36.4,24553.0,24.6,2.55,-4460.0,124553.0,-14.995640802092424,39.595640802092426,138
002736,48,39.6,24431.0,24.4,2.27,-4678.0,124431.0,-4.520295202952029,28.920295202952026,139
002601,38,28.9,24159.0,24.2,2.03,-5597.0,124159.0,-46.25281440977807,70.45281440977807,140
601988,39,51.3,24188.0,24.2,3.7,-1993.0,124188.0,84.71760797342193,-60.51760797342193,141
000166,39,48.7,24125.0,24.1,3.41,-2050.0,124125.0,4.109589041095885,19.990410958904118,142
600926,40,42.5,23464.0,23.5,2.52,-4030.0,123464.0,20.870265914585005,2.629734085414995,143
002180,48,35.4,23532.0,23.5,2.11,-6717.0,123532.0,-54.616024397005816,78.11602439700582,144
601808,54,35.2,23004.0,23.0,1.85,-5147.0,123004.0,-9.090909090909093,32.09090909090909,145
601985,47,51.1,23044.0,23.0,2.69,-2556.0,123044.0,80.44806517311606,-57.44806517311606,146
603260,50,42.0,22779.0,22.8,1.98,-6338.0,122779.0,-51.619067841596774,74.41906784159677,147
688396,54,33.3,22628.0,22.6,2.04,-8168.0,122628.0,-13.097713097713104,35.697713097713105,148
